ID,Included (Yes/No),Author,year,Ref,Body Comp Method,intervention,int_pre_m,int_pre_sd,con_pre_m,con_pre_sd,int_post_m,int_post_sd,con_post_m,con_post_sd,INT_delta_M,INT_delta_SD,INT_N,con_delta_M,con_delta_SD,con_N
35,YES,Eliot,2008,"Eliot, K. A., et al., 2008,The effects of creatine and whey protein supplementation on body composition in men aged 48 to 72 years during resistance training",DXA,Whey protein,64,6.302,68,12.0167,64.7,5.9699,67.6,6.957,0.7,3.893483573,11,-0.4,7.683790526,10
36,YES,Erskine,2012,"Erskine, R. M., et al., 2012,Whey protein does not enhance the adaptations to elbow flexor resistance training",Skin fold,PRO,57.9,7.5,60.2,10.2,58.2,7.1,60.2,9.6,0.3,4.632493929,17,0,6.287129711,16
38,YES,Farup,2014,"Farup, J., et al., 2014,Whey protein hydrolysate augments tendon and muscle hypertrophy independent of resistance exercise contraction mode",MRI,eccentric + WHD,76.6,2.7,80.9,2.6,,,,,5.8983,2.8669,11,2.186,2.5295,11
38,YES,Farup,2014,"Farup, J., et al., 2014,Whey protein hydrolysate augments tendon and muscle hypertrophy independent of resistance exercise contraction mode",MRI,concentric + WHD,77.8,2.6,79.4,2.5,,,,,5.1864,1.855,11,2.949,2.8672,11
43,YES,Gryson,2014,"Gryson, C., et al., 2014,Four-month course of soluble milk proteins interacts with exercise to improve muscle strength and delay fatigue in elderly participants",DXA,TMP10t,62.3,6.3,59.4,5.7,63.1,7.2,58.5,8.1,0.8,4.353619184,9,-0.9,4.922194632,9
43,YES,Gryson,2014,"Gryson, C., et al., 2014,Four-month course of soluble milk proteins interacts with exercise to improve muscle strength and delay fatigue in elderly participants",DXA,PRO10,60.7,6.0083,59.3,4.8,61.4,6.6408,58.8,4.5,0.7,4.044752614,10,-0.5,2.954657341,9
43,YES,Gryson,2014,"Gryson, C., et al., 2014,Four-month course of soluble milk proteins interacts with exercise to improve muscle strength and delay fatigue in elderly participants",DXA,PRO10t,60.1,8.7681,59.4,5.7,60.7,8.2024,58.5,8.1,0.6,5.393310845,8,-0.9,4.922194632,9
44,YES,Hartman,2007,"Hartman, J. W., et al., 2007,Consumption of fat-free fluid milk after resistance exercise promotes greater lean mass accretion than does consumption of soy or carbohydrate in young, novice, male weightlifters",DXA,Milk,62.4,7.2125,63,9.1537,66.3,6.7882,65.4,9.5896,3.9,4.445670646,18,2.4,5.941560184,19
44,YES,Hartman,2007,"Hartman, J. W., et al., 2007,Consumption of fat-free fluid milk after resistance exercise promotes greater lean mass accretion than does consumption of soy or carbohydrate in young, novice, male weightlifters",DXA,Soy,64,10.8972,63,9.1537,66.8,10.8972,65.4,9.5896,2.8,6.891994424,19,2.4,5.941560184,19
45,YES,Haun,2018,"Haun, C. T., et al., 2018,Soy protein supplementation is not androgenic or estrogenic in college-aged men when combined with resistance exercise training (vol 8, pg 11151, 2018)",DXA,Whey,58.15,23.6666,57.05,24.516,60.81,21.9762,59.9,24.09,2.66,14.52233542,17,2.85,15.3758789,15
45,YES,Haun,2018,"Haun, C. T., et al., 2018,Soy protein supplementation is not androgenic or estrogenic in college-aged men when combined with resistance exercise training (vol 8, pg 11151, 2018)",DXA,Soy,57.67,26.1814,57.05,24.516,60.42,28.4664,59.9,24.09,2.75,17.41658138,15,2.85,15.3758789,15
46,YES,Herda,2013,"Herda, A. A., et al., 2013,Muscle performance, size, and safety responses after eight weeks of resistance training and protein supplementation: A randomized, double-blinded, placebo-controlled clinical trial",Hydrostatic weighing,BWPMV,64.2,8.4971,64.7,7.7904,65.3,8.9443,65.8,7.3321,1.1,5.531747685,20,1.1,4.801878344,21
46,YES,Herda,2013,"Herda, A. A., et al., 2013,Muscle performance, size, and safety responses after eight weeks of resistance training and protein supplementation: A randomized, double-blinded, placebo-controlled clinical trial",Hydrostatic weighing,SWPMV,64.2,9.3808,64.7,7.7904,65.2,9.3808,65.8,7.3321,1,5.932938855,22,1.1,4.801878344,21
48,YES,Hida,2012,"Hida, A., et al., 2012,Effects of egg white protein supplementation on muscle strength and serum free amino acid concentrations",BIA,Prot,46.3,4.6476,46.8,5.0349,47.8,4.2603,48.4,4.2603,1.5,2.840786758,15,1.6,3.02986451,15
49,YES,Hoffman,2007,"Hoffman, J. R., et al., 2007,Effects of protein supplementation on muscular performance and resting hormonal changes in college football players",DXA,PR,74,5.8,76.7,3.3,76.8,4.3,75.4,6.2,1.4,1.9,11,0.1,1.4,10
50,YES,Hoffman,2009,"Hoffman, J. R., et al., 2009,Effect of protein-supplement timing on strength, power, and body-composition changes in resistance-trained men",DXA,AM/PM,75.1,5.8,76.6,13.3,77.2,6.4,77,14.3,2.1,3.899743581,13,0.4,8.779293821,7
50,YES,Hoffman,2009,"Hoffman, J. R., et al., 2009,Effect of protein-supplement timing on strength, power, and body-composition changes in resistance-trained men",DXA,PRE/POST,77.1,8.7,76.6,13.3,78.3,8.2,77,14.3,1.2,5.365258614,13,0.4,8.779293821,7
53,YES,Iglay,2009,"Iglay, H. B., et al., 2009,Moderately increased protein intake predominately from egg sources does not influence whole body, regional, or muscle composition responses to resistance training in older people",DXA,HP,,,,,,,,,1.2,1.2,18,1,1,18
54,YES,Ispoglou,2016,"Ispoglou, T., et al., 2016,Double-blind, placebo-controlled pilot trial of l-leucine-enriched amino-acid mixtures on body composition and physical performance in men and women aged 65-75 years",DXA,A,44.8,7.1,42.6,8.9,44.8,7.2,43,9.3,0.2,2.4,8,0.8,1.3,9
54,YES,Ispoglou,2016,"Ispoglou, T., et al., 2016,Double-blind, placebo-controlled pilot trial of l-leucine-enriched amino-acid mixtures on body composition and physical performance in men and women aged 65-75 years",DXA,B,45.5,8.9,42.6,8.9,46,9.1,43,9.3,1.1,1.1,8,0.8,1.3,9
57,YES,Kerksick,2006,"Kerksick, C. M., et al., 2006,The effects of protein and amino acid supplementation on performance and training adaptations during ten weeks of resistance training",DXA,WC,61.3,8.6,63.5,8.2,63.2,8,63.5,7.3,1.9,5.280151513,10,0,4.975339184,11
58,YES,Kim,2014,"Kim, H. H., et al., 2014,Interactive effects of an isocaloric high-protein diet and resistance exercise on body composition, ghrelin, and metabolic and hormonal parameters in untrained young men: A randomized clinical trial",BIA,RE+HP diet,51.5,4.6,57.5,6.4,52.7,4.1,57.2,5.6,2.4,2,9,-0.4,2.8,9
59,YES,Kim,2020,"Kim, D. and Park, Y., 2020,Amount of protein required to improve muscle mass in older adults",DXA,Tertile 2,15.32,3.59,14.86,3.27,,,,,0.18,0.73,33,0.07,0.88,33
59,YES,Kim,2020,"Kim, D. and Park, Y., 2020,Amount of protein required to improve muscle mass in older adults",DXA,Tertile 3,14.78,2.93,14.86,3.27,,,,,0.51,0.95,33,0.07,0.88,33
60,YES,Kirmse,2019,"Kirmse, M., et al., 2019,Prolonged collagen peptide supplementation and resistance exercise training affects body composition in recreationally active men",BIA,COL,70.1,6.7,69.4,6.2,72.1,6.6,70.1,5.9,2,4.206899096,29,0.7,3.836925853,28
64,YES,Leenders,2013,"Leenders, M., et al., 2013,Protein supplementation during resistance-type exercise training in the elderly",DXA,Protein(W),41.7,5.1962,43.3,4.1569,43,5.1962,44.4,4.5033,1.3,3.286365436,12,1.1,2.758242206,12
64,YES,Leenders,2013,"Leenders, M., et al., 2013,Protein supplementation during resistance-type exercise training in the elderly",DXA,Protein(M),61.5,5.0349,62.4,5.6125,62.9,5.8095,63.4,5.9867,1.4,3.507150664,15,1,3.685127832,14
65,YES,Lockwood,2017,"Lockwood, C. M., et al., 2017,Effects of hydrolyzed whey versus other whey protein supplements on the physiological response to 8 weeks of resistance exercise in college-aged males",DXA,WPC,37.2,3.24,34.2,4.34,38.7,4.33,35.3,3.6,1.5,2.607638779,13,1.1,2.607144031,15
65,YES,Lockwood,2017,"Lockwood, C. M., et al., 2017,Effects of hydrolyzed whey versus other whey protein supplements on the physiological response to 8 weeks of resistance exercise in college-aged males",DXA,WPC-L,37,4.14,34.2,4.34,38.4,4.02,35.3,3.6,1.4,2.58292857,15,1.1,2.607144031,15
65,YES,Lockwood,2017,"Lockwood, C. M., et al., 2017,Effects of hydrolyzed whey versus other whey protein supplements on the physiological response to 8 weeks of resistance exercise in college-aged males",DXA,WPH,35.2,3.71,34.2,4.34,36.6,3.64,35.3,3.6,1.4,2.32522257,13,1.1,2.607144031,15
66,YES,Maesta,2007,"Maesta, N., et al., 2007,Effects of soy protein and resistance exercise on body composition and blood lipids in postmenopausal women",BIA,SP,18.3,2.4,17.8,2.7,18.8,2.5,18.6,2.9,0.5,1,10,0.7,1.2,11
66,YES,Maesta,2007,"Maesta, N., et al., 2007,Effects of soy protein and resistance exercise on body composition and blood lipids in postmenopausal women",BIA,SPE,19.7,3.3,17.8,2.5,21,3.6,19.2,2.8,1.3,0.9,14,1.3,1.2,11
70,YES,Mobley,2017,"Mobley, C. B., et al., 2017,Effects of whey, soy or leucine supplementation with 12 weeks of resistance training on strength, body composition, and skeletal muscle and adipose tissue histological attributes in college-aged males",DXA,LEU,36.4,3.48,36.5,4.49,38.3,3.85,38.3,6.58,1.9,2.34437625,14,1.8,4.023155478,15
70,YES,Mobley,2017,"Mobley, C. B., et al., 2017,Effects of whey, soy or leucine supplementation with 12 weeks of resistance training on strength, body composition, and skeletal muscle and adipose tissue histological attributes in college-aged males",DXA,WPC,37.6,5.78,36.5,4.49,39.7,5.36,38.3,6.58,2.1,3.545239061,17,1.8,4.023155478,15
70,YES,Mobley,2017,"Mobley, C. B., et al., 2017,Effects of whey, soy or leucine supplementation with 12 weeks of resistance training on strength, body composition, and skeletal muscle and adipose tissue histological attributes in college-aged males",DXA,WPH,37.4,5.24,36.5,4.49,39.3,5.72,38.3,6.58,1.9,3.495643002,14,1.8,4.023155478,15
70,YES,Mobley,2017,"Mobley, C. B., et al., 2017,Effects of whey, soy or leucine supplementation with 12 weeks of resistance training on strength, body composition, and skeletal muscle and adipose tissue histological attributes in college-aged males",DXA,SPC,37.3,4.65,36.5,4.49,39.9,5.55,38.3,6.58,2.6,3.336615051,15,1.8,4.023155478,15
71,YES,Mori,2018,"Mori, H. and Tokuda, Y., 2018,Effect of whey protein supplementation after resistance exercise on the muscle mass and physical function of healthy older women: A randomized controlled trial",BIA,EX+PRO,3.5,0.7,3.8,0.7,3.8,0.7,3.8,0.7,0.3,0.442718872,25,0,0.442718872,25
71,YES,Mori,2018,"Mori, H. and Tokuda, Y., 2018,Effect of whey protein supplementation after resistance exercise on the muscle mass and physical function of healthy older women: A randomized controlled trial",BIA,EX+PRO,10.7,1.2,10.8,1.4,11.2,1.2,11.1,1.4,0.5,0.758946638,25,0.3,0.885437745,25
72,YES,Nabuco,2018c,"Nabuco, H. C. G., et al., 2018c,Effects of whey protein supplementation pre- or post-resistance training on muscle mass, muscular strength, and functional capacity in pre-conditioned older women: A randomized clinical trial",DXA,WP-PLA,17.7,2.5,16.2,2.2,18.4,2.4,16.6,2.2,0.7,1.55241747,22,0.4,1.39140217,23
72,YES,Nabuco,2018c,"Nabuco, H. C. G., et al., 2018c,Effects of whey protein supplementation pre- or post-resistance training on muscle mass, muscular strength, and functional capacity in pre-conditioned older women: A randomized clinical trial",DXA,PLA-WP,17.4,3.2,16.2,2.2,18.2,3.2,16.6,2.2,0.8,2.023857703,21,0.4,1.39140217,23
75,YES,Nabuco,2019a,"Nabuco, H. C. G., et al., 2019a,Effects of pre- or post-exercise whey protein supplementation on body fat and metabolic and inflammatory profile in pre-conditioned older women: A randomized, double-blind, placebo-controlled trial",DXA,WP-PLA,15.8,1.9,14.6,1.8,16.3,2.1,15.1,1.9,0.5,1.279062156,22,0.5,1.173882447,23
75,YES,Nabuco,2019a,"Nabuco, H. C. G., et al., 2019a,Effects of pre- or post-exercise whey protein supplementation on body fat and metabolic and inflammatory profile in pre-conditioned older women: A randomized, double-blind, placebo-controlled trial",DXA,PLA-WP,15.6,2.7,14.6,1.8,16.1,2.7,15.1,1.9,0.5,1.707629936,21,0.5,1.173882447,23
76,YES,Nabuco,2019b,"Nabuco, H. C. G., et al., 2019b,Effects of protein intake beyond habitual intakes associated with resistance training on metabolic syndrome-related parameters, isokinetic strength, and body composition in older women",BIA,PRO,17.2,2.8,16.2,1.2,17.9,2.9,16.5,1.2,0.7,1.804993075,15,0.3,0.758946638,15
77,YES,Naclerio,2017a,"Naclerio, F., et al., 2017a,Carbohydrates alone or mixing with beef or whey protein promote similar training outcomes in resistance training males: A double-blind, randomized controlled clinical trial",BodPod,Beef,62.05,10.28,64.15,7.28,63.15,9.47,64.23,7.27,1.1,6.29259406,8,0.08,4.601123776,8
77,YES,Naclerio,2017a,"Naclerio, F., et al., 2017a,Carbohydrates alone or mixing with beef or whey protein promote similar training outcomes in resistance training males: A double-blind, randomized controlled clinical trial",Ultrasonography,Beef,31.26,3.01,35.88,6.22,38.06,3.06,37.96,5.55,6.8,1.92008854,8,2.08,3.775884002,8
77,YES,Naclerio,2017a,"Naclerio, F., et al., 2017a,Carbohydrates alone or mixing with beef or whey protein promote similar training outcomes in resistance training males: A double-blind, randomized controlled clinical trial",BodPod,Whey,66.1,5.75,64.15,7.28,66.98,6.12,64.23,7.27,0.88,3.77,8,0.08,4.601123776,8
77,YES,Naclerio,2017a,"Naclerio, F., et al., 2017a,Carbohydrates alone or mixing with beef or whey protein promote similar training outcomes in resistance training males: A double-blind, randomized controlled clinical trial",Ultrasonography,Whey,33.95,1.79,35.88,6.22,38.06,3.6,37.96,5.55,4.11,2.419442084,8,2.08,3.775884002,8
78,YES,Naclerio,2017b,"Naclerio, F., et al., 2017b,Effects of protein-carbohydrate supplementation on immunity and resistance training outcomes: A double-blind, randomized, controlled clinical trial",BodPod,Beef,52.47,7.43,53.94,10.23,,,,,0.88,1.18,9,0.42,0.93,9
78,YES,Naclerio,2017b,"Naclerio, F., et al., 2017b,Effects of protein-carbohydrate supplementation on immunity and resistance training outcomes: A double-blind, randomized, controlled clinical trial",Ultrasonography,Beef,28.24,4.59,30.04,4.67,,,,,3.13,1.62,9,1.7,1.63,9
78,YES,Naclerio,2017b,"Naclerio, F., et al., 2017b,Effects of protein-carbohydrate supplementation on immunity and resistance training outcomes: A double-blind, randomized, controlled clinical trial",BodPod,Whey,56.85,10.58,53.94,10.23,,,,,0.59,0.86,9,0.42,0.93,9
78,YES,Naclerio,2017b,"Naclerio, F., et al., 2017b,Effects of protein-carbohydrate supplementation on immunity and resistance training outcomes: A double-blind, randomized, controlled clinical trial",Ultrasonography,Whey,31.93,3.09,30.04,4.67,,,,,1.57,3.28,9,1.7,1.63,9
81,YES,Nahas,2019,"Nahas, P. C., et al., 2019,Moderate increase in protein intake promotes a small additional improvement in functional capacity, but not in muscle strength and lean mass quality, in postmenopausal women following resistance exercise: A randomized clinical trial",DXA,HP,36.6,5.16,36.1,5,37.5,5.16,38.4,5,0.9,3.263470545,22,2.3,3.16227766,25
82,YES,Nakayama,2020,"Nakayama, K., et al., 2020,Effects of low-dose milk protein supplementation following low-to-moderate intensity exercise training on muscle mass in healthy older adults: A randomized placebo-controlled trial",BIA,MILK,39.7,7,39.9,7.81,40.3,7,39.8,7.81,0.54,0.86,61,-0.1,1.48,61
83,YES,Negro,2014,"Negro, M., et al., 2014,Protein supplementation with low fat meat after resistance training: Effects on body composition and strength",BIA,FG,52.8,9.4,56.9,11.9,55.1,10.9,57.4,11.4,2.3,2.5,12,0.5,2.3,14
84,YES,Oertzen-Hagemann,2019,"Oertzen-Hagemann, V., et al., 2019,Effects of 12 weeks of hypertrophy resistance exercise training combined with collagen peptide supplementation on the skeletal muscle proteome in recreationally active men",BIA,COL,71.2,5.7,69.6,4,73.8,5.3,70.3,4.3,2.56,2.22,12,0.7,1.14,13
86,YES,Ormsbee,2018,"Ormsbee, M. J., et al., 2018,Protein supplementation during a 6-month concurrent training program: Effect on body composition and muscular strength in sedentary individuals",DXA,PRO ,57.8,0.5,61.8,1,60.2,1.01,63.7,1,2.4,1.52,26,1.9,1.5,25
87,YES,Orsatti,2018,"Orsatti, F. L., et al., 2018,Adding soy protein to milk enhances the effect of resistance training on muscle strength in postmenopausal women",BIA,SOY+RT,19.5,3.1,18,2.4,20.7,3.5,19.5,2.7,1.2,0.94,16,1.5,0.85,16
88,YES,Ottestad,2017,"Ottestad, I., et al., 2017,Intake of a protein-enriched milk and effects on muscle mass and strength. A 12-week randomized placebo controlled trial among community-dwelling older adults",DXA,Protein,44.1,7.2,44.3,8.9,,,,,0.1,0.49,17,0.2,0.42,19
89,YES,Ozan,2020,"Ozan, M., et al., 2020,The effect of protein and carbohydrate consumption during 10-week strength training on maximal strength and body composition",BIA,PR,64.14,4.21,65.36,4.12,68.21,3.87,66.23,4.58,4.07,2.575398998,10,0.87,2.785577139,10
90,YES,Paoli,2015,"Paoli, A., et al., 2015,Protein supplementation increases postexercise plasma myostatin concentration after 8 weeks of resistance training in young physically active subjects",Skin fold,HP,33.44,2.4,34.11,1.84,35.37,2.38,35.64,2.2,1.93,1.511687798,9,1.53,1.32242202,9
93,YES,Pihoker,2019,"Pihoker, A. A., et al., 2019,The effects of nutrient timing on training adaptations in resistance-trained females",DXA,PRE,,,,,,,,,0.96,1.38,17,0.15,1.35,9
93,YES,Pihoker,2019,"Pihoker, A. A., et al., 2019,The effects of nutrient timing on training adaptations in resistance-trained females",DXA,POST,,,,,,,,,0.64,0.72,17,0.15,1.35,9
94,YES,Planella-Farrugia,2019,"Planella-Farrugia, C., et al., 2019,Circulating irisin and myostatin as markers of muscle strength and physical condition in elderly subjects",BIA,RENS,46.5,7.4,43.8,9.5,47.4,7.4,43.7,9.9,0.9,4.680170937,9,-0.1,6.146543744,14
96,YES,Randolph,2020,"Randolph, A. C., et al., 2020,Effect of essential amino acid supplementation and aerobic exercise on insulin sensitivity in healthy older adults: A randomized clinical trial",DXA,EAA,,,,,,,,,0.43,0.8,11,0.79,0.98,10
97,YES,Rankin,2004,"Rankin, J. W., et al., 2004,Effect of post-exercise supplement consumption on adaptations to resistance training",DXA,MILK,61,8.85,60.9,8.7,62.9,9.17,61.7,7.2,1.9,5.70650506,9,0.8,5.225514329,11
98,YES,Reidy,2016,"Reidy, P. T., et al., 2016,Protein supplementation has minimal effects on muscle adaptations during resistance exercise training in young men: A double-blind randomized clinical trial",DXA,PB,56.6,1.5,55.2,1.5,59.1,1.3,57.4,1.7,2.88,1.83,22,2.04,1.77,18
98,YES,Reidy,2016,"Reidy, P. T., et al., 2016,Protein supplementation has minimal effects on muscle adaptations during resistance exercise training in young men: A double-blind randomized clinical trial",DXA,WP,57.6,1.5,55.2,1.5,60,2,57.4,1.7,2.29,1.77,18,2.04,1.77,18
100,YES,Rossato,2017,"Rossato, L. T., et al., 2017,Higher protein intake does not improve lean mass gain when compared with rda recommendation in postmenopausal women following resistance exercise protocol: A randomized clinical trial",DXA,HP,37.1,6.2,37.6,6.2,,,,,1.33,0.68,11,1.26,0.82,12
101,YES,Rozenek,2002,"Rozenek, R., et al., 2002, Effects of high-calorie supplements on body composition and muscular strength following resistance training",Hydrostatic weighing,CHO/PRO,64.8,10.2,66.6,9,67.6,10.8,68,8.4,2.9,3.4,26,3.4,2.5,25
101,YES,Rozenek,2002,"Rozenek, R., et al., 2002, Effects of high-calorie supplements on body composition and muscular strength following resistance training",Hydrostatic weighing,CHO,66.4,10.8,66.6,9,69.8,10.7,68,8.4,3.4,2.5,25,1.4,1.7,21
104,YES,Sharp,2018,"Sharp, M. H., et al., 2018,The effects of beef, chicken, or whey protein after workout on body composition and muscle performance",DXA,WPC,52.48,10.89,53.14,11.35,54.96,11.48,54.96,10.74,2.48,7.096124294,10,1.82,7.00940083,10
104,YES,Sharp,2018,"Sharp, M. H., et al., 2018,The effects of beef, chicken, or whey protein after workout on body composition and muscle performance",DXA,Beef,52.53,7.67,53.14,11.35,54.65,8.61,54.96,10.74,2.12,5.224852151,10,1.82,7.00940083,10
